Capital
Leticia
Medellin
Arauca
Barranquilla
Cartagena de Indias
Tunja
Manizales
Florencia
Yopal
Popayan
Valledupar
Quibdo
Monteria
Bogota
Inirida
San Jose del Guaviare
Neiva
Riohacha
Santa Marta
Villavicencio
San Juan de Pasto
San Jose de Cucuta
Mocoa
Armenia
Pereira
San Andres
Bucaramanga
Sincelejo
Ibague
Cali
Mitu
Puerto Carreno
